Feature,Importance
V14,0.1568693806341714
V10,0.13226544117609074
V12,0.131184409450595
V4,0.09460631998501443
V17,0.09327382910651211
V11,0.07787728083834075
V16,0.061186034605825515
V3,0.047754242520448784
V7,0.03830872966155192
V21,0.025113647505818848
V2,0.021898598303216443
V9,0.01622687612152752
V1,0.012684556468047278
V27,0.007667347240413057
V28,0.007424566578825382
V8,0.007194580858431666
Time,0.0065685149413127735
V6,0.005701191948587038
Hour,0.005246617219398593
V19,0.004778864735485792
V13,0.004707779548149553
Log_Amount,0.004526496351123493
V18,0.004457544845761037
Amount,0.004007032773659336
V20,0.0036701252178573634
V26,0.003312098549372575
V15,0.0031646672509009015
V25,0.003136442482942788
V22,0.0031255784952897267
V23,0.003081565167615865
V5,0.002939300327930477
V24,0.002776438325672444
Velocity,0.00257210091661709
Is_Night,0.0006917998474923735
